Species,Longitude,Latitude
Caiman_yacare,-64.3848574,-13.2252957
Caiman_yacare,-63.8098574,-13.2252957
Caiman_yacare,-64.4681907,-13.233629
Caiman_yacare,-63.2931907,-13.233629
Caiman_yacare,-63.7431907,-13.2419624
Caiman_yacare,-63.176524,-13.2252957
Caiman_yacare,-63.101524,-13.2419624
Caiman_yacare,-65.2348574,-13.2752957
Caiman_yacare,-63.376524,-13.2752957
Caiman_yacare,-63.9931907,-13.2919624
Caiman_yacare,-63.726524,-13.2919624
Caiman_yacare,-64.1681907,-13.3002957
Caiman_yacare,-63.851524,-13.3002957
Caiman_yacare,-63.4598574,-13.3002957
Caiman_yacare,-65.1931907,-13.3252957
Caiman_yacare,-65.2431907,-13.3419624
Caiman_yacare,-63.376524,-13.3419624
Caiman_yacare,-63.6931907,-13.3502957
Caiman_yacare,-63.451524,-13.358629
Caiman_yacare,-63.526524,-13.383629
Caiman_yacare,-65.2431907,-13.3919624
Caiman_yacare,-64.8431907,-13.433629
Caiman_yacare,-64.826524,-13.483629
Caiman_yacare,-65.2931907,-13.533629
Caiman_yacare,-62.9431907,-13.4419624
Caiman_yacare,-62.8848574,-13.4752957
Caiman_yacare,-67.401524,-13.6419624
Caiman_yacare,-63.7431907,-13.5752957
Caiman_yacare,-65.3348574,-13.583629
Caiman_yacare,-63.7181907,-13.6252957
Caiman_yacare,-63.6431907,-13.6252957
Caiman_yacare,-65.326524,-13.658629
Caiman_yacare,-67.9931907,-13.7419624
Caiman_yacare,-68.0598573,-13.7502957
Caiman_yacare,-67.5098573,-13.7669624
Caiman_yacare,-67.426524,-13.7169624
Caiman_yacare,-67.376524,-13.7169624
Caiman_yacare,-65.4931907,-13.7252957
Caiman_yacare,-67.451524,-13.8002957
Caiman_yacare,-65.2681907,-13.708629
Caiman_yacare,-65.3431907,-13.7252957
Caiman_yacare,-65.276524,-13.758629
Caiman_yacare,-67.5098573,-13.8919624
Caiman_yacare,-65.1931907,-13.908629
Caiman_yacare,-67.526524,-14.033629
Caiman_yacare,-67.601524,-14.0419624
Caiman_yacare,-67.4598573,-13.9919624
Caiman_yacare,-64.8348574,-13.9419624
Caiman_yacare,-65.101524,-13.983629
Caiman_yacare,-64.8848574,-14.0252957
Caiman_yacare,-65.0681907,-14.0419624
Caiman_yacare,-65.1181907,-14.0502957
Caiman_yacare,-67.5848573,-14.1252957
Caiman_yacare,-67.4931907,-14.0919624
Caiman_yacare,-65.376524,-14.108629
Caiman_yacare,-67.4181907,-14.1169624
Caiman_yacare,-64.8848574,-14.0752957
Caiman_yacare,-65.0848574,-14.108629
Caiman_yacare,-65.051524,-14.1752957
Caiman_yacare,-64.9181907,-14.1919624
Caiman_yacare,-67.501524,-14.2169624
Caiman_yacare,-67.2431907,-14.283629
Caiman_yacare,-65.5931907,-14.283629
Caiman_yacare,-67.326524,-14.2919624
Caiman_yacare,-64.9931907,-14.2169624
Caiman_yacare,-65.0681907,-14.2419624
Caiman_yacare,-65.001524,-14.283629
Caiman_yacare,-64.901524,-14.2919624
Caiman_yacare,-65.051524,-14.3002957
Caiman_yacare,-64.8931907,-14.358629
